RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10023870,50,services,married,secondary,yes,no,,15,december,154,1972.8,37080
10023871,52,technician,married,,no,no,,13,january,203,0,1260
10023872,50,management,married,tertiary,no,no,,10,february,326,0,0
10023873,58,retired,married,tertiary,no,no,,27,march,393,0,0
10023874,46,blue-collar,divorced,primary,yes,no,,14,april,241,38439,346860
10023875,38,technician,married,secondary,yes,no,,1,may,483,35677.8,51120
10023876,46,blue-collar,married,secondary,yes,no,,14,june,259,42658.2,298800
10023877,32,services,single,secondary,yes,no,,19,july,227,15877.8,73080
10023878,51,blue-collar,married,primary,yes,no,,8,august,673,0,41400
10023879,39,admin.,single,secondary,yes,no,,18,september,576,0,-4500
10023880,48,admin.,married,secondary,yes,no,,19,october,180,23967,32760
10023881,36,entrepreneur,married,tertiary,yes,no,,28,november,168,14542.2,210420
10023882,34,admin.,divorced,secondary,yes,no,,3,december,90,3731.4,12060
10023883,40,technician,married,secondary,no,no,,1,january,505,0,13860
10023884,43,unemployed,married,secondary,yes,no,,16,february,245,0,0
10023885,52,blue-collar,divorced,primary,yes,yes,,26,march,186,3270.6,9900
10023886,33,technician,married,secondary,yes,no,,20,april,623,5628.6,12960
10023887,49,management,single,tertiary,yes,no,,1,may,496,8152.2,29340
10023888,32,management,single,tertiary,yes,no,,5,june,118,6787.8,27180
10023889,39,admin.,single,secondary,yes,no,,12,july,342,0,20340
10023890,40,blue-collar,married,secondary,yes,no,,23,august,225,0,0
10023891,38,technician,single,tertiary,yes,no,,18,september,185,3018.6,1620
10023892,43,management,married,secondary,yes,no,,22,october,196,34003.8,67500
10023893,39,services,married,secondary,yes,no,,19,november,276,80506.8,205560
10023894,54,blue-collar,married,primary,yes,no,,5,december,76,156672,378360
10023895,38,technician,single,tertiary,yes,,,28,january,87,50338.8,778500
10023896,40,blue-collar,married,secondary,yes,no,,19,february,195,8760.6,39060
10023897,55,admin.,married,secondary,yes,no,,28,march,744,24377.4,23580
10023898,42,management,married,tertiary,yes,no,,30,april,765,0,302400
10023899,39,blue-collar,married,secondary,yes,no,,27,may,262,0,0
10023900,40,blue-collar,married,primary,yes,no,,4,june,119,6303.6,8280
10023901,32,blue-collar,married,secondary,yes,no,,9,july,198,12574.8,57600
10023902,55,admin.,married,secondary,yes,no,,19,august,150,4390.2,32940
10023903,45,blue-collar,married,secondary,no,no,,28,september,241,7678.8,7020
10023904,35,management,single,tertiary,yes,no,,23,october,181,26629.2,100800
10023905,58,technician,divorced,secondary,no,no,,12,november,196,25905.6,84420
10023906,35,admin.,married,secondary,yes,no,,17,december,149,9343.8,95400
10023907,49,services,married,primary,yes,no,,22,january,246,6312.6,10980
10023908,34,technician,single,tertiary,yes,no,,16,february,112,9529.2,43560
10023909,36,blue-collar,married,secondary,yes,no,,5,march,309,0,25020
10023910,24,self-employed,single,secondary,yes,no,,13,april,278,0,0
10023911,34,technician,married,secondary,yes,no,,19,may,140,15030,66060
10023912,51,admin.,divorced,secondary,yes,no,,30,june,136,166897.8,41040
10023913,39,technician,single,,yes,no,,26,july,1623,0,8144640
10023914,50,self-employed,married,,yes,no,,13,august,101,0,-15120
10023915,32,services,single,secondary,yes,no,,28,september,144,10512,55800
10023916,42,blue-collar,married,,yes,no,,6,october,238,16853.4,23760
10023917,50,technician,married,secondary,yes,no,,15,november,354,12360.6,143460
10023918,40,services,married,secondary,no,no,,30,december,79,619.2,12780
10023919,46,management,divorced,,yes,no,,8,january,187,1116,360
10023920,37,management,married,tertiary,yes,yes,,5,february,451,12976.2,41580
10023921,34,blue-collar,married,secondary,yes,yes,,13,march,159,14133.6,48600
10023922,44,blue-collar,married,secondary,yes,yes,,6,april,409,,49320
10023923,40,admin.,single,secondary,yes,yes,,25,may,170,,-19620
10023924,37,technician,married,secondary,yes,no,,29,june,608,,180
10023925,33,blue-collar,single,secondary,no,no,,22,july,243,,-10800
10023926,35,blue-collar,married,secondary,yes,no,,23,august,145,,16020
10023927,58,blue-collar,divorced,secondary,no,no,,10,september,112,,-1980
10023928,39,blue-collar,married,primary,yes,no,,2,october,262,,0
10023929,43,blue-collar,married,secondary,yes,no,,7,november,124,0,-91620
10023930,39,unemployed,married,primary,yes,no,,29,december,53,7993.8,73440
10023931,36,services,single,primary,yes,no,,7,january,134,16025.4,10440
10023932,57,retired,single,secondary,no,yes,,4,february,204,9410.4,295200
10023933,36,admin.,single,secondary,yes,no,,25,march,186,1958.4,3600
10023934,50,blue-collar,married,primary,yes,,,17,april,678,3157.2,12780
10023935,55,blue-collar,married,secondary,yes,no,,2,may,182,6402.6,9360
10023936,44,self-employed,married,tertiary,yes,no,,11,june,162,18282.6,52560
10023937,44,services,divorced,secondary,yes,no,,8,july,27,11170.8,76320
10023938,39,housemaid,single,primary,yes,no,,1,august,699,17528.4,19620
10023939,46,blue-collar,married,,yes,no,,15,september,43,52639.2,187920
10023940,39,blue-collar,married,secondary,yes,no,,22,october,97,48025.8,176940
10023941,34,admin.,married,secondary,no,no,,14,november,1677,39589.2,156420
10023942,40,blue-collar,married,primary,yes,no,,23,december,283,41697,120240
10023943,50,management,married,tertiary,yes,no,,4,january,323,27990,173520
10023944,31,management,single,secondary,yes,no,,10,february,82,10666.8,54180
10023945,37,admin.,single,secondary,yes,no,,21,march,310,26636.4,25200
10023946,39,management,single,secondary,yes,no,,11,april,185,75574.8,337860
10023947,51,blue-collar,married,primary,yes,no,,10,may,47,51481.8,202860
10023948,41,technician,married,secondary,yes,no,,20,june,145,42471,156780
10023949,41,technician,married,secondary,yes,yes,,14,july,204,0,138060
10023950,43,blue-collar,married,secondary,no,no,,15,august,187,0,0
10023951,30,services,single,secondary,yes,no,,29,september,30,0,37620
10023952,54,management,divorced,primary,no,no,,18,october,472,0,0
10023953,43,blue-collar,divorced,secondary,yes,yes,,30,november,448,,19800
10023954,59,management,divorced,tertiary,yes,yes,,3,december,264,,-13680
10023955,47,technician,married,,yes,no,,4,january,169,,32040
10023956,40,blue-collar,married,primary,yes,no,,14,february,288,,-11880
10023957,32,technician,married,secondary,yes,no,,28,march,176,0,0
10023958,29,blue-collar,married,secondary,yes,no,,3,april,215,0,180
10023959,36,blue-collar,married,secondary,yes,no,,19,may,337,,0
10023960,55,unemployed,married,tertiary,no,no,,24,june,278,,962100
10023961,30,blue-collar,divorced,secondary,yes,no,,8,july,188,,-37620
10023962,39,admin.,single,secondary,yes,no,,13,august,174,0,0
10023963,39,blue-collar,divorced,secondary,yes,no,,17,september,226,2156.4,7560
10023964,50,blue-collar,divorced,secondary,yes,no,,5,october,190,0,7380
10023965,44,blue-collar,married,secondary,yes,no,,11,november,111,0,-17820
10023966,37,technician,single,secondary,yes,no,,18,december,164,3558.6,3060
10023967,46,admin.,married,primary,yes,yes,,9,january,157,,49680
10023968,32,technician,single,,no,no,,4,february,46,,-30600
10023969,37,management,single,tertiary,yes,yes,,18,march,374,,41400
10023970,29,blue-collar,married,secondary,yes,no,,16,april,349,4795.2,1620
10023971,41,blue-collar,married,secondary,yes,no,,20,may,325,57556.8,170280
10023972,45,blue-collar,married,primary,yes,no,,29,june,233,,233460
10023973,57,retired,divorced,secondary,yes,,,19,july,531,0,-59580
10023974,48,blue-collar,single,secondary,yes,no,,15,august,153,1335.6,7920
10023975,60,retired,married,secondary,no,no,,14,september,80,5369.4,2700
10023976,26,admin.,single,secondary,yes,no,,14,october,232,102216.6,128160
10023977,58,retired,married,secondary,yes,no,,8,november,118,86256,978300
10023978,34,admin.,married,secondary,yes,no,,30,december,190,23016.6,91260
10023979,55,unemployed,divorced,secondary,yes,no,,4,january,918,0,69660
10023980,41,blue-collar,married,primary,yes,yes,,1,february,238,0,0
10023981,50,management,divorced,secondary,yes,no,,19,march,82,27815.4,308880
10023982,49,entrepreneur,married,secondary,yes,yes,,13,april,198,4246.2,30060
10023983,44,admin.,married,,no,yes,,22,may,160,3997.8,7200
10023984,44,blue-collar,married,primary,yes,no,,2,june,211,2606.4,26640
10023985,31,technician,married,secondary,yes,yes,,18,july,120,6813,3060
10023986,34,blue-collar,single,tertiary,yes,no,,12,august,136,64562.4,181980
10023987,46,management,single,,yes,no,,11,september,269,55384.2,274860
10023988,42,management,married,tertiary,no,no,,22,october,157,31181.4,133920
10023989,52,admin.,married,secondary,yes,no,,24,november,128,0,87120
10023990,29,management,single,tertiary,yes,no,,27,december,211,0,0
10023991,53,retired,married,primary,yes,no,,15,january,267,22140,24480
10023992,43,blue-collar,married,secondary,yes,no,,7,february,371,43169.4,240300
10023993,38,management,married,secondary,yes,no,,15,march,288,25311.6,93060
10023994,46,management,married,tertiary,yes,no,,15,april,221,26083.8,82620
10023995,48,management,divorced,,yes,no,,8,may,427,11091.6,98820
10023996,30,admin.,divorced,secondary,yes,yes,,19,june,310,6908.4,14940
10023997,44,blue-collar,married,primary,no,no,,11,july,158,10805.4,38340
10023998,31,housemaid,married,primary,yes,no,,15,august,604,16849.8,36540
10023999,42,services,single,secondary,yes,no,,5,september,198,73636.2,93240
10024000,40,management,single,tertiary,yes,no,,5,october,145,113747.4,697860
10024001,52,admin.,married,secondary,yes,no,,24,november,247,50229,222480
10024002,45,blue-collar,divorced,secondary,yes,no,,24,december,179,17901,136080
10024003,48,blue-collar,married,secondary,yes,no,,16,january,73,,28260
10024004,45,blue-collar,married,primary,yes,no,,7,february,263,,-11880
10024005,34,blue-collar,married,,yes,no,,20,march,13,,44100
10024006,34,blue-collar,married,primary,yes,no,,2,april,79,,-25920
10024007,46,blue-collar,married,secondary,yes,no,,3,may,416,9838.8,12780
10024008,49,services,divorced,secondary,yes,no,,23,june,162,18426.6,90900
10024009,50,technician,married,primary,yes,no,,4,july,129,0,44820
10024010,34,admin.,single,secondary,yes,no,,6,august,150,0,0
10024011,40,unemployed,single,secondary,yes,no,,22,september,43,4356,1980
10024012,36,admin.,married,secondary,yes,,,22,october,191,14626.8,115020
10024013,59,blue-collar,divorced,,yes,no,,21,november,26,5239.8,22320
10024014,45,blue-collar,married,secondary,yes,no,,15,december,250,4867.2,14760
10024015,36,self-employed,married,tertiary,yes,no,,3,january,146,11689.2,19260
10024016,56,services,married,secondary,yes,no,,14,february,416,21796.2,85140
10024017,42,services,divorced,secondary,yes,yes,,30,march,121,6796.8,66960
10024018,30,admin.,married,secondary,yes,no,,27,april,114,2055.6,8280
10024019,30,student,single,tertiary,yes,no,,4,may,289,9264.6,6120
10024020,47,self-employed,married,,yes,no,,14,june,225,,168300
10024021,33,blue-collar,married,secondary,yes,no,,24,july,123,,-1800
10024022,36,admin.,married,secondary,yes,no,,26,august,130,,-19080
10024023,39,services,divorced,primary,yes,no,,27,september,161,31455,84780
10024024,56,admin.,divorced,secondary,yes,no,,25,october,149,18896.4,140040
10024025,39,blue-collar,divorced,,yes,no,,14,november,268,12024,30600
10024026,42,technician,married,secondary,yes,no,,1,december,259,51883.2,56700
10024027,52,blue-collar,married,secondary,no,no,,4,january,26,33458.4,569700
10024028,36,admin.,divorced,secondary,yes,no,,27,february,153,8494.2,23580
10024029,35,entrepreneur,married,secondary,yes,no,,12,march,424,6760.8,36720
10024030,47,technician,married,secondary,yes,no,,15,april,179,0,14940
10024031,59,services,divorced,secondary,yes,yes,,4,may,97,0,0
10024032,57,blue-collar,married,primary,yes,yes,,30,june,383,160603.2,977580
10024033,38,management,married,,yes,no,,19,july,440,,316620
10024034,46,unemployed,married,secondary,yes,no,,15,august,23,,-22500
10024035,34,blue-collar,married,secondary,no,no,,19,september,195,0,0
10024036,28,services,single,secondary,yes,no,,14,october,1297,88740,916200
10024037,38,technician,married,,yes,no,,19,november,87,49784.4,103140
10024038,56,blue-collar,married,secondary,yes,no,,11,december,427,,288360
10024039,41,blue-collar,single,primary,yes,yes,,22,january,189,,-24660
10024040,52,technician,married,,no,no,,12,february,195,0,0
10024041,54,services,married,secondary,no,no,,20,march,179,10080,34740
10024042,61,retired,married,secondary,yes,yes,,24,april,179,12313.8,35100
10024043,53,entrepreneur,married,secondary,no,no,,5,may,69,3843,51840
10024044,47,technician,married,secondary,yes,no,,4,june,105,1132.2,3420
10024045,53,blue-collar,married,primary,yes,no,,30,july,266,3817.8,4500
10024046,46,services,married,secondary,yes,no,,11,august,524,10526.4,38880
10024047,39,blue-collar,divorced,primary,yes,yes,,20,september,96,7126.2,34200
10024048,56,technician,divorced,secondary,yes,no,,6,october,155,24784.2,17820
10024049,55,services,divorced,primary,yes,no,,4,november,162,10270.8,413640
10024050,44,management,married,tertiary,yes,no,,24,december,352,0,3060
10024051,37,technician,married,primary,yes,,,6,january,76,0,0
10024052,35,blue-collar,married,primary,yes,no,,14,february,154,0,0
10024053,55,blue-collar,married,secondary,yes,no,,18,march,310,28494,151200
10024054,37,services,married,secondary,yes,no,,15,april,390,0,64440
10024055,30,technician,single,secondary,yes,no,,27,may,369,,0
10024056,37,blue-collar,married,primary,yes,yes,,7,june,112,,-58500
10024057,36,technician,single,secondary,yes,no,,16,july,341,,-2700
10024058,38,technician,married,secondary,yes,no,,3,august,79,79903.8,104580
10024059,41,admin.,divorced,primary,yes,no,,4,september,140,28515.6,732600
10024060,48,retired,married,secondary,no,yes,,6,october,315,5308.2,13320
10024061,55,services,divorced,secondary,yes,no,,22,november,262,5821.2,25380
10024062,28,services,divorced,secondary,no,no,,16,december,174,0,16020
10024063,54,services,married,secondary,yes,no,,6,january,138,0,0
10024064,30,blue-collar,married,secondary,no,no,,2,february,526,19407.6,81000
10024065,48,technician,married,tertiary,no,no,,1,march,135,0,55800
10024066,31,self-employed,married,secondary,yes,no,,23,april,36,0,0
10024067,38,blue-collar,married,secondary,yes,no,,18,may,1906,20237.4,69120
10024068,37,blue-collar,married,secondary,yes,no,,28,june,219,,71100
10024069,37,services,single,,yes,no,,29,july,147,,-21240
10024070,56,blue-collar,married,primary,yes,yes,,19,august,407,820.8,900
10024071,51,blue-collar,married,secondary,yes,yes,,19,september,121,6202.8,9000
10024072,39,blue-collar,married,secondary,yes,yes,,28,october,209,3396.6,51300
10024073,49,technician,married,,no,no,,2,november,92,5142.6,2700
10024074,51,blue-collar,married,primary,yes,yes,,8,december,208,40231.8,117540
10024075,43,self-employed,married,secondary,yes,no,,3,january,193,24541.2,165240
10024076,32,services,married,secondary,yes,yes,,3,february,144,16300.8,43740
10024077,29,technician,single,tertiary,yes,no,,12,march,65,38107.8,72900
10024078,48,management,divorced,tertiary,yes,no,,17,april,339,30238.2,239040
10024079,55,services,married,primary,yes,no,,24,may,285,48360.6,45900
10024080,53,blue-collar,married,secondary,yes,no,,25,june,231,138981.6,611460
10024081,47,technician,married,,yes,no,,16,july,168,127902.6,379080
10024082,39,management,married,tertiary,yes,no,,22,august,278,21589.2,517860
10024083,31,blue-collar,single,tertiary,yes,yes,,25,september,389,18990,10800
10024084,39,blue-collar,married,primary,yes,no,,2,october,158,131565.6,400680
10024085,40,blue-collar,married,primary,yes,no,,24,november,145,,518400
10024086,40,technician,single,,yes,no,,18,december,78,,-900
10024087,48,technician,married,secondary,no,no,,15,january,142,1666.8,26460
10024088,33,technician,divorced,secondary,yes,yes,,5,february,87,1434.6,1260
10024089,40,technician,married,secondary,yes,no,,21,march,147,,19620
10024090,59,retired,married,primary,yes,,,16,april,289,,-21420
10024091,30,technician,married,secondary,yes,no,,3,may,703,49195.8,87120
10024092,31,management,single,tertiary,yes,no,,25,june,170,51625.8,333360
10024093,35,unemployed,married,secondary,yes,no,,18,july,802,5497.2,95940
10024094,54,technician,divorced,secondary,yes,no,,22,august,381,11746.8,3780
10024095,34,admin.,single,,yes,no,,18,september,218,24319.8,438120
10024096,32,technician,married,secondary,yes,yes,,4,october,57,32121,16200
10024097,56,admin.,divorced,,yes,no,,3,november,304,67293,764280
10024098,32,admin.,single,tertiary,yes,no,,17,december,241,3999.6,71100
10024099,42,blue-collar,married,primary,yes,no,,28,january,230,1855.8,2700
10024100,33,services,married,tertiary,no,no,,9,february,262,,15300
10024101,52,entrepreneur,married,tertiary,yes,yes,,5,march,392,,-33120
10024102,52,services,married,secondary,no,no,,19,april,201,,118800
10024103,52,blue-collar,divorced,primary,yes,no,,29,may,145,,-32940
10024104,30,unemployed,divorced,secondary,yes,no,,28,june,252,1756.8,205920
10024105,44,services,divorced,secondary,yes,no,,16,july,235,432,180
10024106,35,admin.,married,secondary,yes,yes,,22,august,235,6402.6,12420
10024107,55,management,single,secondary,yes,no,,7,september,328,14043.6,39600
10024108,33,blue-collar,married,primary,yes,no,,29,october,116,14668.2,59760
10024109,37,blue-collar,single,secondary,yes,no,,18,november,246,0,43200
10024110,42,technician,single,secondary,yes,no,,13,december,293,0,0
10024111,43,unemployed,married,secondary,yes,no,,13,january,37,0,0
10024112,38,entrepreneur,married,tertiary,yes,no,,2,february,132,17269.2,161640
10024113,37,technician,married,secondary,yes,yes,,27,march,530,9147.6,22140
10024114,31,student,single,secondary,yes,no,,29,april,175,6651,45360
10024115,41,management,married,tertiary,yes,no,,4,may,524,,11700
10024116,41,technician,married,secondary,yes,yes,,27,june,29,,-65880
10024117,29,student,single,secondary,yes,no,,14,july,311,11167.2,37620
10024118,38,admin.,single,secondary,yes,no,,10,august,211,1544.4,39780
10024119,44,self-employed,divorced,tertiary,yes,no,,14,september,312,1060.2,720
10024120,39,admin.,married,secondary,yes,no,,3,october,412,9360,18720
10024121,28,technician,single,secondary,yes,no,,22,november,392,,56160
10024122,33,blue-collar,married,secondary,yes,no,,26,december,191,,-62820
10024123,41,services,married,,no,no,,2,january,284,,720
10024124,40,blue-collar,married,primary,yes,yes,,12,february,144,,-57960
10024125,29,admin.,married,secondary,yes,no,,8,march,328,,-27000
10024126,38,management,married,,yes,no,,21,april,100,31991.4,242820
10024127,32,admin.,married,tertiary,yes,no,,6,may,226,30906,50580
10024128,45,services,married,secondary,yes,no,,23,june,507,18529.2,226620
10024129,33,admin.,single,secondary,yes,no,,5,july,392,15206.4,18180
10024130,34,blue-collar,married,secondary,yes,no,,29,august,684,14275.8,152640
10024131,41,entrepreneur,married,,yes,no,,24,september,333,5799.6,16020
10024132,41,blue-collar,married,secondary,yes,no,,2,october,311,7479,25200
10024133,35,admin.,single,secondary,yes,no,,14,november,128,8940.6,26640
10024134,40,technician,single,secondary,yes,no,,15,december,322,4984.2,36000
10024135,60,self-employed,married,primary,yes,no,,7,january,202,4996.8,8280
10024136,47,services,divorced,secondary,yes,no,,23,february,92,16959.6,36180
10024137,46,blue-collar,married,primary,yes,no,,18,march,739,0,95400
10024138,31,blue-collar,single,secondary,yes,no,,3,april,273,0,0
10024139,49,self-employed,married,secondary,yes,no,,29,may,260,340.2,180
10024140,29,blue-collar,married,secondary,yes,no,,3,june,268,,7740
10024141,31,management,single,tertiary,yes,no,,25,july,396,,-31140
10024142,38,management,married,tertiary,yes,no,,27,august,262,15026.4,70020
10024143,37,blue-collar,married,primary,yes,yes,,3,september,308,,38700
10024144,35,technician,married,secondary,yes,no,,14,october,467,,-23580
10024145,31,management,single,secondary,yes,no,,11,november,320,0,140940
10024146,41,admin.,married,secondary,yes,no,,20,december,160,0,0
10024147,46,services,married,,yes,no,,28,january,245,4762.8,14400
10024148,40,services,divorced,secondary,yes,no,,23,february,189,7183.8,18900
10024149,29,admin.,married,secondary,yes,yes,,22,march,477,6348.6,32760
10024150,49,admin.,married,secondary,yes,no,,7,april,310,0,14760
10024151,42,management,married,tertiary,yes,no,,26,may,65,0,0
10024152,54,services,married,secondary,yes,no,,2,june,196,18253.8,91800
10024153,40,management,single,tertiary,yes,no,,4,july,221,12627,43560
10024154,53,admin.,married,secondary,yes,yes,,17,august,197,7785,43920
10024155,49,management,married,tertiary,yes,no,,10,september,221,0,16560
10024156,40,blue-collar,married,primary,yes,no,,30,october,64,0,0
10024157,29,student,single,secondary,yes,no,,28,november,75,7673.4,170640
10024158,36,blue-collar,married,primary,yes,no,,21,december,400,6640.2,4140
10024159,37,technician,married,secondary,yes,no,,26,january,378,48061.8,127800
10024160,39,services,married,secondary,yes,no,,4,february,118,34601.4,216900
10024161,36,technician,married,secondary,yes,yes,,18,march,1597,40257,66240
10024162,44,entrepreneur,married,tertiary,yes,no,,19,april,346,5140.8,293580
10024163,40,admin.,married,secondary,yes,no,,6,may,60,649.8,1080
10024164,49,blue-collar,married,secondary,yes,no,,5,june,276,,4680
10024165,30,technician,single,,yes,no,,26,july,152,,-8640
10024166,57,management,married,tertiary,yes,no,,5,august,251,21103.2,385560
10024167,24,services,single,secondary,yes,yes,,2,september,390,9131.4,13860
10024168,46,blue-collar,married,,yes,no,,14,october,306,4768.2,72180
10024169,33,admin.,married,secondary,no,no,,27,november,189,0,3780
10024170,43,services,divorced,secondary,yes,no,,10,december,125,,0
10024171,43,admin.,single,secondary,yes,no,,8,january,234,,-89460
10024172,40,blue-collar,divorced,primary,no,no,,13,february,79,8814.6,66420
10024173,44,technician,single,,yes,no,,23,march,13,6899.4,14040
10024174,35,technician,single,tertiary,yes,yes,,2,april,283,17519.4,40680
10024175,47,technician,married,secondary,yes,no,,30,may,109,22476.6,90540
10024176,33,blue-collar,married,secondary,yes,no,,3,june,132,0,66960
10024177,31,admin.,married,secondary,yes,yes,,4,july,144,0,0
10024178,40,blue-collar,divorced,secondary,yes,no,,24,august,121,0,0
10024179,36,entrepreneur,married,tertiary,yes,no,,14,september,95,1161,22500
10024180,56,retired,divorced,primary,yes,no,,15,october,31,2127.6,720
10024181,40,admin.,single,,yes,no,,27,november,112,19085.4,75420
10024182,41,admin.,divorced,secondary,yes,no,,3,december,87,16230.6,57960
10024183,53,retired,married,secondary,yes,no,,19,january,593,22284,54540
10024184,39,blue-collar,married,secondary,yes,no,,22,february,99,30805.2,109260
10024185,44,blue-collar,divorced,secondary,yes,no,,15,march,198,69017.4,104220
10024186,38,admin.,married,secondary,yes,no,,7,april,285,26130.6,548460
10024187,54,technician,divorced,secondary,yes,no,,30,may,190,3904.2,14940
10024188,58,management,married,tertiary,yes,no,,27,june,172,3263.4,12240
10024189,52,blue-collar,married,primary,yes,no,,5,july,213,6269.4,10440
10024190,28,admin.,single,secondary,yes,no,,21,august,178,21592.8,45180
10024191,36,blue-collar,married,secondary,yes,no,,17,september,174,26002.8,123840
10024192,60,retired,married,primary,yes,no,,17,october,631,7353,65520
10024193,42,services,divorced,secondary,yes,no,,5,november,176,3873.6,9900
10024194,42,admin.,married,secondary,yes,no,,5,december,32,5351.4,18180
10024195,44,management,married,tertiary,yes,no,,2,january,1529,9599.4,18900
10024196,51,blue-collar,divorced,primary,yes,no,,10,february,254,13181.4,58500
10024197,49,blue-collar,married,primary,yes,no,,15,march,200,10569.6,35640
10024198,47,entrepreneur,married,,yes,no,,27,april,135,10162.8,37620
10024199,37,blue-collar,married,secondary,yes,no,,8,may,112,7203.6,32940
10024200,34,management,married,tertiary,yes,no,,14,june,314,5558.4,18900
10024201,35,services,married,secondary,yes,no,,4,july,597,10519.2,19620
10024202,35,blue-collar,single,secondary,yes,yes,,28,august,207,,67680
10024203,40,blue-collar,married,primary,yes,no,,24,september,410,,-1260
10024204,55,technician,married,secondary,no,no,,1,october,160,0,0
10024205,55,retired,married,secondary,yes,no,,17,november,42,14572.8,25740
10024206,35,management,single,tertiary,yes,no,,25,december,55,15510.6,99000
10024207,57,blue-collar,married,primary,yes,no,,24,january,155,7092,29160
10024208,53,management,married,tertiary,yes,no,,20,february,336,12609,20700
10024209,41,blue-collar,married,primary,yes,no,,11,march,233,33400.8,92160
10024210,57,blue-collar,married,,yes,no,,26,april,211,23245.2,145260
10024211,45,blue-collar,married,,yes,no,,27,may,88,28476,44640
10024212,43,blue-collar,married,primary,yes,no,,25,june,208,4784.4,217980
10024213,56,self-employed,married,,no,no,,26,july,305,2304,1260
10024214,31,entrepreneur,married,tertiary,yes,no,,16,august,206,8170.2,50580
10024215,37,blue-collar,single,secondary,yes,no,,15,september,128,2757.6,15840
10024216,30,management,married,tertiary,yes,no,,1,october,122,3151.8,5760
10024217,30,admin.,single,secondary,yes,no,,23,november,66,8881.2,20700
10024218,54,blue-collar,married,secondary,yes,no,,25,december,66,9937.8,45720
10024219,36,management,married,tertiary,yes,no,,6,january,164,12202.2,25920
10024220,55,unemployed,married,tertiary,no,no,,24,february,343,24256.8,68940
10024221,37,admin.,single,secondary,yes,yes,,24,march,126,0,102420
10024222,38,housemaid,married,secondary,yes,no,,29,april,59,0,0
10024223,48,admin.,married,secondary,yes,no,,18,may,249,264839.4,675720
10024224,55,housemaid,divorced,tertiary,yes,no,,9,june,406,75736.8,1245600
10024225,59,services,married,secondary,yes,yes,,25,july,250,,55260
10024226,37,technician,married,secondary,yes,no,,27,august,183,,-75780
10024227,33,blue-collar,divorced,secondary,no,no,,3,september,190,3294,10800
10024228,44,blue-collar,married,primary,yes,no,,1,october,220,8528.4,12060
10024229,57,technician,married,secondary,yes,no,,25,november,153,29467.8,72360
10024230,30,self-employed,single,tertiary,no,no,,18,december,95,22721.4,144000
10024231,42,technician,married,tertiary,yes,yes,,4,january,191,16482.6,43020
10024232,51,blue-collar,divorced,secondary,yes,no,,11,february,216,13528.8,75780
10024233,44,admin.,divorced,secondary,yes,no,,22,march,89,11208.6,28980
10024234,46,technician,married,secondary,no,no,,21,april,51,9264.6,52020
10024235,29,student,single,secondary,yes,no,,10,may,169,8530.2,19800
10024236,39,blue-collar,married,primary,yes,no,,22,june,148,0,44100
10024237,42,services,married,secondary,yes,no,,29,july,132,0,0
10024238,50,blue-collar,married,primary,yes,no,,7,august,117,0,28080
10024239,42,technician,single,secondary,yes,no,,15,september,275,0,0
10024240,39,admin.,married,secondary,yes,no,,3,october,124,2228.4,3600
10024241,55,technician,single,tertiary,yes,no,,29,november,118,4701.6,16560
10024242,46,services,married,secondary,yes,no,,28,december,479,6316.2,16020
10024243,42,blue-collar,married,secondary,yes,no,,10,january,285,6795,29880
10024244,45,management,married,tertiary,yes,no,,23,february,35,,18540
10024245,43,blue-collar,married,primary,yes,no,,9,march,322,,-81720
10024246,42,admin.,married,secondary,yes,no,,18,april,202,2192.4,80100
10024247,30,admin.,married,secondary,no,no,,21,may,172,3288.6,720
10024248,47,blue-collar,married,secondary,yes,no,,26,june,201,,180180
10024249,51,services,divorced,secondary,yes,no,,25,july,216,,-12420
10024250,38,technician,single,secondary,yes,no,,9,august,195,13541.4,7560
10024251,57,technician,married,,yes,no,,24,september,96,31062.6,291060
10024252,42,management,divorced,tertiary,yes,no,,6,october,720,11194.2,39780
10024253,32,technician,divorced,secondary,yes,yes,,5,november,188,0,37800
10024254,46,management,married,tertiary,no,no,,4,december,70,0,0
10024255,29,student,single,tertiary,yes,no,,7,january,141,20435.4,33300
10024256,59,retired,married,secondary,yes,no,,15,february,106,26065.8,150480
10024257,32,blue-collar,single,secondary,yes,no,,18,march,395,20219.4,54180
10024258,44,blue-collar,married,primary,yes,no,,23,april,629,23509.8,90540
10024259,40,retired,married,primary,yes,no,,17,may,502,7632,73260
10024260,31,blue-collar,single,secondary,yes,no,,24,june,446,18153,9540
10024261,46,self-employed,married,tertiary,yes,no,,10,july,241,29923.2,414540
10024262,43,management,married,tertiary,yes,no,,19,august,131,8928,25920
10024263,34,services,married,secondary,yes,no,,13,september,312,12992.4,36900
10024264,39,management,married,tertiary,yes,no,,27,october,275,14376.6,54900
10024265,30,blue-collar,divorced,secondary,yes,yes,,12,november,120,0,45180
10024266,56,retired,married,secondary,yes,no,,30,december,333,0,0
10024267,29,technician,married,secondary,no,no,,7,january,113,1733.4,1440
10024268,40,blue-collar,divorced,secondary,yes,no,,30,february,91,8310.6,25020
10024269,36,services,married,secondary,yes,no,,20,march,128,10873.8,33120
10024270,37,blue-collar,single,secondary,yes,no,,4,april,200,0,42840
10024271,35,admin.,married,secondary,no,no,,5,may,326,0,0
